TYP; REGELSET; DATEI; PFAD; INFO
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (156); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (157); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (158); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (160); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (240); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (243); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (272); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (274); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (275); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (277); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (281); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (284); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (145); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (147); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (148); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (149); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (154); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (155); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (156); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (157); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (158); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (159); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (161); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (164); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (166); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (169); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (170); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (172); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (173); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (174); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (175); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/TriggerActions/GameEventAction/MessageTitle (177); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
